phenotype	geneset	n_genes	obs	obs_lo	obs_hi	null_mean	null_lo	null_hi	ratio	ratio_lo	ratio_hi	emp_p
generalized_gge	circadian	23	10.695	7.354	14.288	7.000	5.389	9.148	1.528	1.050	2.041	1.700e-03
jme	circadian	23	6.172	4.751	7.946	6.080	4.800	7.632	1.015	0.781	1.307	4.223e-01
jae	circadian	23	6.375	5.042	7.827	5.559	4.438	6.822	1.147	0.907	1.408	9.549e-02
cae	circadian	23	6.907	5.312	8.558	5.810	4.687	7.085	1.189	0.914	1.473	4.370e-02
gtcs_alone	circadian	23	5.465	4.297	6.765	5.294	4.279	6.480	1.032	0.812	1.278	3.686e-01
focal_epilepsy	circadian	23	6.050	5.121	6.921	6.157	4.972	7.550	0.983	0.832	1.124	5.416e-01
focal_hs	circadian	23	5.636	4.465	6.948	5.599	4.517	6.854	1.007	0.797	1.241	4.565e-01
focal_lesneg	circadian	23	5.721	4.626	6.897	5.445	4.390	6.633	1.051	0.849	1.267	3.056e-01
focal_otherles	circadian	23	5.233	4.247	6.323	5.538	4.486	6.674	0.945	0.767	1.142	6.972e-01
trans_gge	circadian	23	11.173	7.557	15.134	7.138	5.498	9.283	1.565	1.059	2.120	5.999e-04
trans_focal	circadian	23	6.068	5.203	6.897	6.265	5.062	7.674	0.969	0.830	1.101	6.033e-01
trans_all	circadian	23	7.664	5.772	9.915	6.767	5.392	8.351	1.132	0.853	1.465	1.187e-01
