gene	spearman_r	p_spatial	p_randomgene
CLOCK_SET	-0.028630350480802657	0.9330669330669331	0.8687131286871312
ARNTL	-0.0326814191338781	0.9180819180819181	
ARNTL2	0.09667990785526175	0.6523476523476524	
CLOCK	-0.06733554426766297	0.8121878121878122	
NPAS2	0.33353098910553824	0.004995004995004995	
PER1	-0.08072751315921335	0.7622377622377622	
PER2	0.16439362534138297	0.4435564435564436	
PER3	-0.04949440354379227	0.7482517482517482	
CRY1	-0.001070489644076932	0.995004995004995	
CRY2	0.3009125399507235	0.023976023976023976	
NR1D1	-0.023298892253439108	0.929070929070929	
NR1D2	-0.08081147313129781	0.8071928071928072	
RORA	0.03478041843598973	0.9240759240759241	
RORB	-0.09806524739465543	0.7882117882117882	
RORC	-0.2748639586115181	0.24175824175824176	
CSNK1D	-0.23655722134798085	0.0959040959040959	
FBXL3	-0.25206882619058585	0.12187812187812187	
DBP	0.11725010101595572	0.44655344655344653	
NFIL3	-0.29912839054392865	0.022977022977022976	
TIMELESS	0.20217561277939233	0.3276723276723277	
BHLHE40	0.019205843614321424	0.958041958041958	
BHLHE41	-0.16731123437131815	0.28471528471528473	
CIART	0.23345070238085563	0.08591408591408592	
