map	r	p_spin	p_fdr
GABAa (flumazenil)	-0.054237857352755964	0.8261738261738262	0.994005994005994
GABAa/BZ (flumazenil)	-0.05959027748625162	0.7372627372627373	0.994005994005994
nAChR a4b2	0.10990302674111078	0.7632367632367633	0.994005994005994
AChVAChT (FEOBV)	-0.03862138449267453	0.8221778221778222	0.994005994005994
D1 (SCH23390)	0.10381596070693926	0.6093906093906094	0.994005994005994
D2 (FLB457)	0.07176440955459468	0.8411588411588412	0.994005994005994
SERT (DASB)	-0.14692918013517484	0.4925074925074925	0.994005994005994
5-HT1A	-0.01672893665253348	0.9330669330669331	0.994005994005994
5-HT2A	0.15595482977204986	0.3986013986013986	0.994005994005994
CB1 (OMAR)	-0.0023508668821627973	0.994005994005994	0.994005994005994
mu-opioid	0.315855757524873	0.4195804195804196	0.994005994005994
glucose metab	0.299336719701104	0.0999000999000999	0.6493506493506493
cerebral blood flow	0.3326056840602829	0.03496503496503497	0.4545454545454546
