phenotype	dropped	n_genes	ratio	emp_p	flips_ns_at_0.05
generalized_gge	<none>	23	1.528	1.700e-03	-
generalized_gge	ARNTL	22	1.476	4.000e-03	no
generalized_gge	ARNTL2	22	1.547	1.800e-03	no
generalized_gge	CLOCK	22	1.599	1.100e-03	no
generalized_gge	NPAS2	22	1.512	2.900e-03	no
generalized_gge	PER1	22	1.341	2.050e-02	no
generalized_gge	PER2	22	1.555	2.100e-03	no
generalized_gge	PER3	22	1.462	4.600e-03	no
generalized_gge	CRY1	22	1.561	2.000e-03	no
generalized_gge	CRY2	22	1.559	2.200e-03	no
generalized_gge	NR1D1	22	1.534	2.000e-03	no
generalized_gge	NR1D2	22	1.515	2.500e-03	no
generalized_gge	RORA	22	1.499	2.500e-03	no
generalized_gge	RORB	22	1.546	2.400e-03	no
generalized_gge	RORC	22	1.575	1.100e-03	no
generalized_gge	CSNK1D	22	1.581	1.200e-03	no
generalized_gge	CSNK1E	22	1.429	7.299e-03	no
generalized_gge	FBXL3	22	1.532	2.600e-03	no
generalized_gge	DBP	22	1.562	1.400e-03	no
generalized_gge	NFIL3	22	1.532	1.500e-03	no
generalized_gge	TIMELESS	22	1.564	1.600e-03	no
generalized_gge	BHLHE40	22	1.530	1.900e-03	no
generalized_gge	BHLHE41	22	1.561	9.999e-04	no
generalized_gge	CIART	22	1.578	7.999e-04	no
