qtl_type	tissue	gene	p	nes
sQTL	Whole_Blood	PER1	6.06819e-13	-0.319848
sQTL	Skin_Sun_Exposed_Lower_leg	PER1	3.78784e-11	-0.31408
sQTL	Brain_Cerebellum	CTC1	2.68378e-11	0.507989
sQTL	Testis	PER1	9.91877e-07	-0.321231
sQTL	Testis	PER1	9.91877e-07	-0.321231
sQTL	Testis	SLC25A35	8.93661e-05	-0.319803
sQTL	Testis	ODF4	8.67858e-06	0.371378
sQTL	Colon_Sigmoid	PER1	1.1247e-07	0.332505
sQTL	Ovary	PER1	7.08491e-09	-0.467627
sQTL	Adipose_Visceral_Omentum	PER1	1.76951e-14	0.41818
sQTL	Adipose_Visceral_Omentum	PER1	1.76951e-14	0.41818
sQTL	Nerve_Tibial	PER1	1.57584e-10	-0.365829
sQTL	Breast_Mammary_Tissue	PER1	1.24908e-12	-0.361092
sQTL	Adipose_Subcutaneous	PER1	5.8529e-12	-0.309687
sQTL	Adipose_Subcutaneous	CTC1	5.01375e-08	0.233491
sQTL	Artery_Aorta	PER1	1.42849e-14	-0.390693
sQTL	Artery_Aorta	CTC1	5.94178e-11	0.354135
sQTL	Artery_Aorta	CTC1	5.94178e-11	0.354135
sQTL	Thyroid	PER1	3.34105e-09	-0.253175
sQTL	Thyroid	PER1	3.34105e-09	-0.253175
sQTL	Heart_Atrial_Appendage	PER1	5.18415e-09	-0.288453
sQTL	Skin_Not_Sun_Exposed_Suprapubic	PER1	1.13998e-15	-0.347555
sQTL	Skin_Not_Sun_Exposed_Suprapubic	PER1	1.13998e-15	-0.347555
sQTL	Lung	PER1	1.30646e-12	-0.332036
sQTL	Lung	CTC1	6.18452e-10	0.345103
sQTL	Lung	CTC1	6.18452e-10	0.345103
sQTL	Artery_Tibial	PER1	6.29308e-24	-0.529754
sQTL	Artery_Tibial	CTC1	1.77372e-08	0.231405
eQTL	Vagina	KRBA2	4.469684056478856e-06	0.24082855880260468
eQTL	Brain_Nucleus_accumbens_basal_ganglia	VAMP2	5.835000911262042e-07	0.14268848299980164
eQTL	Esophagus_Muscularis	KRBA2	5.9440217576486254e-05	0.10074947029352188
eQTL	Adipose_Visceral_Omentum	CTC1	9.660604174645906e-06	0.10277607291936874
eQTL	Pituitary	VAMP2	3.0564909611414466e-09	0.19015727937221527
eQTL	Nerve_Tibial	VAMP2	6.030221464230188e-07	0.14478453993797302
eQTL	Nerve_Tibial	TMEM107	1.7681510656226598e-08	0.12578274309635162
eQTL	Nerve_Tibial	KRBA2	2.405439979696697e-06	0.0859651193022728
eQTL	Whole_Blood	VAMP2	6.814202306130739e-08	0.08605679124593735
eQTL	Whole_Blood	AURKB	0.00011348741317504534	0.07625076174736023
eQTL	Whole_Blood	LINC00324	7.407142227854207e-05	0.09804743528366089
eQTL	Whole_Blood	CTC1	7.263461849482896e-27	0.18536174297332764
eQTL	Skin_Not_Sun_Exposed_Suprapubic	KRBA2	5.242016963952017e-06	0.12307649105787277
eQTL	Esophagus_Gastroesophageal_Junction	VAMP2	1.640168563204664e-07	0.1742764115333557
eQTL	Brain_Hypothalamus	VAMP2	9.005089580847816e-13	0.2578444182872772
eQTL	Adipose_Subcutaneous	CTC1	3.2281676381822224e-11	0.16746565699577332
eQTL	Adipose_Subcutaneous	SLC25A35	7.937682005321646e-05	-0.10629438608884811
eQTL	Adipose_Subcutaneous	KRBA2	3.949023554608208e-05	0.10853961110115051
eQTL	Testis	VAMP2	1.3396306976918047e-09	0.11672944575548172
eQTL	Brain_Caudate_basal_ganglia	VAMP2	2.892977515664779e-10	0.19588805735111237
eQTL	Artery_Tibial	PFAS	7.757729291149041e-05	-0.08077725023031235
eQTL	Brain_Hippocampus	VAMP2	1.0022205640635436e-10	0.17787140607833862
eQTL	Brain_Frontal_Cortex_BA9	ALOX15B	1.8142196093144757e-05	-0.2259584367275238
eQTL	Brain_Frontal_Cortex_BA9	VAMP2	8.087049564932925e-08	0.12781676650047302
eQTL	Colon_Sigmoid	VAMP2	7.546949660611101e-07	0.18980874121189117
eQTL	Colon_Transverse	CTC1	1.1774641285856527e-10	0.21709232032299042
eQTL	Esophagus_Mucosa	KRBA2	9.591336288775886e-08	0.12479287385940552
eQTL	Brain_Cerebellar_Hemisphere	VAMP2	1.0686134126652864e-10	0.22625809907913208
eQTL	Spleen	CTC1	8.195048568256263e-14	0.2920353412628174
eQTL	Cells_EBV-transformed_lymphocytes	CTC1	1.931775314811703e-11	0.25997304916381836
eQTL	Brain_Cerebellum	VAMP2	2.415444812671906e-07	0.24548904597759247
eQTL	Brain_Spinal_cord_cervical_c-1	VAMP2	1.4392527950018077e-08	0.3964371085166931
eQTL	Cells_Cultured_fibroblasts	KRBA2	1.0923782264833234e-05	0.08102130144834518
eQTL	Lung	CTC1	6.521687699856718e-16	0.2336122840642929
eQTL	Brain_Cortex	VAMP2	1.4354795480032716e-05	0.10558635741472244
eQTL	Brain_Putamen_basal_ganglia	VAMP2	3.266096456526303e-14	0.3271854817867279
eQTL	Skin_Sun_Exposed_Lower_leg	LINC00324	5.327891651839014e-05	0.11360850185155869
eQTL	Skin_Sun_Exposed_Lower_leg	CTC1	5.38309570845332e-07	0.11134862154722214
