symbol	chr	start_hg19	end_hg19
ARNTL	11	13298199	13408813
ARNTL2	12	27485787	27576241
CLOCK	4	56294070	56413305
NPAS2	2	101436614	101613291
PER1	17	8043790	8059824
PER2	2	239152679	239198743
PER3	1	7844380	7905237
CRY1	12	107385142	107487607
CRY2	11	45868669	45904798
NR1D1	17	38249040	38256978
NR1D2	3	23986751	24022109
RORA	15	60780483	61521518
RORB	9	77112281	77308093
RORC	1	151778547	151804348
CSNK1D	17	80196899	80231607
CSNK1E	22	38686697	38794527
FBXL3	13	77566740	77601330
DBP	19	49133287	49140695
NFIL3	9	94171327	94186144
TIMELESS	12	56810903	56843187
BHLHE40	3	5020801	5027008
BHLHE41	12	26272959	26278060
CIART	1	150254953	150259505
