symbol	chr	start_hg19	end_hg19
SCN1A	2	166845670	166984523
SCN1B	19	35521588	35531352
SCN2A	2	166095912	166248818
SCN8A	12	51984050	52206648
GABRA1	5	161274197	161326975
GABRG2	5	161494546	161582542
GABRB3	15	26788693	27184686
CACNA1H	16	1203241	1271771
KCNQ2	20	62037542	62103993
KCNQ3	8	133133108	133493200
STX1B	16	31000577	31021949
SLC2A1	1	43391052	43424530
DEPDC5	22	32149944	32303012
CHRNA4	20	61975420	62009753
GABRA5	15	27111510	27194354
HCN1	5	45259349	45696253
GRIN2A	16	9852376	10276611
LGI1	10	95517566	95557916
CACNA1A	19	13317256	13734804
KCNA1	12	5019071	5040527
