symbol	chr	start_hg19	end_hg19
AANAT	17	74449433	74466199
ADA	20	43248163	43280874
ADCY1	7	45613739	45762715
ADORA1	1	203059782	203136533
ADORA2A	22	24813847	24838328
ADRB1	10	115803806	115806667
AGRP	16	67516474	67517716
AHR	7	17338246	17385776
ASS1	9	133320316	133376661
ATF4	22	39915700	39918691
ATF5	19	50431959	50437192
ATG7	3	11313995	11599139
ATOH7	10	69990386	69991871
BDNF	11	27676440	27743605
BECN1	17	40962152	40985367
BTBD9	6	38136227	38607924
BTRC	10	103113820	103317078
C1orf51	1	150254953	150259505
C3orf70	3	184795838	184870802
CARTPT	5	71014990	71016875
CCAR2	8	22462145	22479027
CDK1	10	62538089	62554610
CHRNB2	1	154540257	154552502
CLDN4	7	73213872	73247014
CREB1	2	208394461	208468155
CRH	8	67088620	67090960
CRTC1	19	18794487	18893004
CSF2	5	131409483	131411859
CUL1	7	148395006	148498128
DDB1	11	61066923	61110068
DRD2	11	113280318	113346413
DRD3	3	113847499	113918254
DRD4	11	637293	640706
DYRK1A	21	38738092	38889753
EGR1	5	137801179	137805004
EGR3	8	22545172	22550815
ELOVL4	6	80624529	80657297
EP300	22	41487790	41576081
EZH2	7	148504475	148581413
F7	13	113760105	113774995
FBXW11	5	171288553	171433877
FBXW7	4	153242410	153457253
FXR1	3	180585929	180700541
GFPT1	2	69546905	69614382
GHRH	20	35879489	35890238
GHRHR	7	30978284	31032869
GHRL	3	10327359	10334631
GNA11	19	3094408	3124002
GNAQ	9	80331003	80646374
GPR157	1	9160364	9189229
GPR176	15	40091233	40213093
GSK3B	3	119540170	119813264
HCRTR2	6	55039050	55147418
HDAC1	1	32757687	32799236
HDAC2	6	114254192	114332472
HDAC3	5	141000443	141016437
HEBP1	12	13127798	13153207
HNF4A	20	42984340	43061485
HNRNPD	4	83273651	83295656
HNRNPU	1	245014468	245027844
HTR7	10	92500578	92617671
ID1	20	30193086	30194318
ID2	2	8818975	8824583
ID3	1	23884409	23886285
ID4	6	19837617	19840915
IGF1	12	102789645	102874423
IMPDH2	3	49061758	49066841
JUND	19	18390563	18392432
KAT5	11	65479467	65487075
KCNA2	1	111136202	111174096
KCND2	7	119913722	120390385
KDM2A	11	66886740	67025558
KDM5A	12	389295	498620
KDM8	16	27214807	27233089
KIAA1737	14	77564440	77583630
KLF10	8	103661007	103668130
KLF9	9	72999503	73029540
KMT2A	11	118307205	118397539
LEP	7	127881337	127897681
LGR4	11	27387508	27494322
MAGEL2	15	23888691	23891175
MAPK10	4	86936276	87515284
MAPK8	10	49514698	49647403
MAPK9	5	179660143	179719099
MC3R	20	54823788	54824871
METTL3	14	21966277	21979517
MTA1	14	105886159	105937066
MTNR1A	4	187454809	187476721
MTNR1B	11	92702886	92718232
MTOR	1	11166592	11322564
MTTP	4	100484918	100545156
MYBBP1A	17	4442192	4458926
MYCBP2	13	77618792	77901185
NAMPT	7	105888731	105926772
NCOA2	8	71021997	71316040
NCOR1	17	15932471	16121499
NDUFA9	12	4758261	4798454
NGF	1	115828539	115880857
NGFR	17	47572655	47592379
NKX2-1	14	36985602	36990354
NLGN1	3	173114074	174004434
NMU	4	56461396	56502865
NOS2	17	26083792	26127525
NPS	10	129347613	129350935
NR0B2	1	27237980	27240457
NR1H3	11	47269851	47290396
NRIP1	21	16333556	16437321
NTRK1	1	156785432	156851642
NTRK2	9	87283466	87638505
NTRK3	15	88418230	88799999
NUDT12	5	102884556	102898494
OPN3	1	241753404	241840678
OPN4	10	88414314	88426605
OPN5	6	47749718	47800516
PARP1	1	226548392	226595780
PAX4	7	127250346	127255982
PDE6B	4	619373	664571
PIWIL2	8	22132810	22215076
PLN	6	118869461	118881893
PML	15	74287014	74340153
PPARA	22	46546424	46639653
PPARG	3	12328867	12475855
PPARGC1A	4	23756664	23905712
PPP1CA	11	67165654	67188654
PPP1CB	2	28974506	29025806
PPP1CC	12	111157485	111180744
PRKAA1	5	40759481	40798476
PRKAA2	1	57110995	57181008
PRKCG	19	54382444	54410906
PRKDC	8	48685669	48872743
PRMT5	14	23389720	23398794
PROKR1	2	68870721	68882708
PROKR2	20	5282317	5297378
PROX1	1	214156524	214214595
PSPC1	13	20248896	20357142
PTEN	10	89622870	89731687
PTGDS	9	139871956	139879887
PTGER1	19	14583278	14586174
RAI1	17	17584787	17714767
RBM4	11	66384097	66434153
RBM4B	11	66432469	66445392
RBX1	22	41347351	41369313
RELB	19	45504688	45541452
ROCK2	2	11319887	11488456
RPE65	1	68894505	68915642
SFPQ	1	35641979	35658749
SIAH2	3	150458914	150481264
SIK1	21	44834395	44847008
SIN3A	15	75661720	75748183
SIRT1	10	69644427	69678147
SIRT6	19	4174106	4182601
SKP1	5	133484633	133512729
SLC6A4	17	28521337	28563020
SPSB4	3	140770244	140867453
SREBF1	17	17713713	17740325
SRRD	22	26879843	26890624
SUV39H2	10	14920819	14946314
TARDBP	1	11072414	11085796
THRAP3	1	36690017	36770958
TNF	6	31543344	31546113
TNFRSF11A	18	59992520	60058516
TOP1	20	39657458	39753127
TOP2A	17	38544768	38574202
TP53	17	7565097	7590856
UBE3A	15	25582381	25684128
USP2	11	119225925	119252436
USP7	16	8985951	9058371
ZFHX3	16	72816784	73093597
