clock_gene	chr	top_bp	top_chi2	in_body	dist_to_body_kb	overlapping_genes	gge_specific_neighbour
ARNTL	11	13350131	19.95	YES	0	-	-
ARNTL2	12	27614760	9.78	no	38.5	-	-
CLOCK	4	56434472	1.95	no	21.2	PDCL2	PDCL2(GGE 2.1/focal 4.1)
NPAS2	2	101566938	17.06	YES	0	-	-
PER1	17	8054860	38.38	YES	0	RP11-599B13.6	RP11-599B13.6(GGE 38.4/focal 5.2)
PER2	2	239155642	7.54	YES	0	-	-
PER3	1	7827441	21.34	no	16.9	CAMTA1	CAMTA1(GGE 29.0/focal 14.5)
CRY1	12	107499272	6.70	no	11.7	-	-
CRY2	11	45944985	5.88	no	40.2	GYLTL1B	GYLTL1B(GGE 5.9/focal 4.3)
NR1D1	17	38248354	6.25	no	0.7	THRA	THRA(GGE 6.2/focal 2.6)
NR1D2	3	23988556	12.18	YES	0	-	-
RORA	15	60731163	18.26	no	49.3	NARG2	NARG2(GGE 18.9/focal 3.9)
RORB	9	77200186	8.83	YES	0	-	-
RORC	1	151827147	3.06	no	22.8	-	-
CSNK1D	17	80184116	1.66	no	12.8	-	-
CSNK1E	22	38842042	24.08	no	47.5	KCNJ4	KCNJ4(GGE 25.5/focal 3.6)
FBXL3	13	77600160	10.23	YES	0	-	-
DBP	19	49084056	2.01	no	49.2	SULT2B1	SULT2B1(GGE 2.0/focal 6.5)
NFIL3	9	94139879	10.15	no	31.4	-	-
TIMELESS	12	56837416	3.46	YES	0	-	-
BHLHE40	3	5013876	9.67	no	6.9	-	-
BHLHE41	12	26262885	5.20	no	10.1	-	-
CIART	1	150210120	2.37	no	44.8	-	-
