symbol	chr	start_hg19	end_hg19
ACTB	7	5566782	5603415
GAPDH	12	6643093	6647537
B2M	15	45003675	45011075
PPIA	7	44836279	44864163
RPL13A	19	49990811	49995565
RPLP0	12	120634489	120639038
TBP	6	170863390	170881958
TFRC	3	195754054	195809060
GUSB	7	65425671	65447301
YWHAZ	8	101928753	101965616
SDHA	5	218356	256815
UBC	12	125396150	125401914
PPIB	15	64448011	64455404
RPS18	6	33239787	33244287
EEF1A1	6	74225473	74233520
RPL19	17	37356536	37360980
RPL27	17	41150290	41154976
TUBB	6	30687978	30693203
VPS29	12	110928902	110939922
CHMP2A	19	59062933	59066491
EMC7	15	34376218	34394149
REEP5	5	112212084	112258236
PSMB2	1	36067185	36107445
PSMB4	1	151372010	151374420
RAB7A	3	128444965	128533639
SNRPD3	22	24951471	25005947
VCP	9	35056061	35073246
GPI	19	34850385	34893061
HMBS	11	118955576	118964259
POLR2A	17	7387685	7417933
NACA	12	57106212	57125412
TPT1	13	45911008	45915505
FAU	11	64888100	64889945
RPS27A	2	55459039	55462989
COX6B1	19	36139125	36149763
C1orf43	1	154179182	154193104
CANX	5	179105629	179157926
HSPA8	11	122928197	122933938
