symbol	chr	start_hg19	end_hg19
SCN3A	2	165944032	166060577
SCN4A	17	62015914	62050278
SCN5A	3	38589548	38691164
SCN9A	2	167051695	167232503
SCN10A	3	38738293	38835501
SCN11A	3	38887260	38992052
KCNA2	1	111136202	111174096
KCNB1	20	47980414	48099184
KCNC1	11	17756359	17804602
KCND2	7	119913722	120390385
KCNH2	7	150642049	150675403
KCNJ10	1	160007257	160040038
KCNMA1	10	78629359	79398353
KCNQ1	11	2465914	2870339
KCNQ5	6	73331520	73908574
CACNA1B	9	140772241	141019076
CACNA1C	12	2079952	2802108
CACNA1E	1	181382238	181777219
CACNA1G	17	48638429	48704835
CACNA1I	22	39966758	40085742
CACNB4	2	152689290	152955593
CACNG2	22	36959968	37099603
